acoustic_tag_owner,acoustic_tag_manufacturer,acoustic_tag_serial_number,acoustic_tag_subtype,acoustic_tag_id,acoustic_tag_family,acoustic_tag_frequency,acoustic_tag_number,acoustic_tag_life_expectancy,transmitter_interval_min,transmitter_interval_max,acoustic_tag_ship_date,comments
InStream Fisheries Research Inc.,Innovasea,1530436,V13,A69-1604-27429,V13-1x-BLU-1,69,27429,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530437,V13,A69-1604-27430,V13-1x-BLU-1,69,27430,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530438,V13,A69-1604-27431,V13-1x-BLU-1,69,27431,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530439,V13,A69-1604-27432,V13-1x-BLU-1,69,27432,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530440,V13,A69-1604-27433,V13-1x-BLU-1,69,27433,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530441,V13,A69-1604-27434,V13-1x-BLU-1,69,27434,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530442,V13,A69-1604-27435,V13-1x-BLU-1,69,27435,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530443,V13,A69-1604-27436,V13-1x-BLU-1,69,27436,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530444,V13,A69-1604-27437,V13-1x-BLU-1,69,27437,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530445,V13,A69-1604-27438,V13-1x-BLU-1,69,27438,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530446,V13,A69-1604-27439,V13-1x-BLU-1,69,27439,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530447,V13,A69-1604-27440,V13-1x-BLU-1,69,27440,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1530448,V13,A69-1604-27441,V13-1x-BLU-1,69,27441,1460,90,150,2022-06-09,
InStream Fisheries Research Inc.,Innovasea,1388384,V9,A69-1601-52087,V9-2x-BLU-3,69,52087,182,20,20,2021-05-31,test tag
InStream Fisheries Research Inc.,Innovasea,1388385,V13,A69-1601-52423,V13-1x-BLU-3,69,52423,347,20,20,2021-05-31,test tag
InStream Fisheries Research Inc.,Innovasea,486856,VR2Tx,A69-1601-62211,VR2Tx Receiver,69,62211,,,,2021-05-31,receiver
InStream Fisheries Research Inc.,Innovasea,486857,VR2Tx,A69-1601-62212,VR2Tx Receiver,69,62212,,,,2021-05-31,receiver
InStream Fisheries Research Inc.,Innovasea,488975,VR2Tx,A69-1601-62497,VR2Tx Receiver,69,62497,,,,2022-07-20,receiver
InStream Fisheries Research Inc.,Innovasea,488974,VR2Tx,A69-1601-62496,VR2Tx Receiver,69,62496,,,,2022-07-20,receiver
InStream Fisheries Research Inc.,Innovasea,488973,VR2Tx,A69-1601-62495,VR2Tx Receiver,69,62495,,,,2022-07-20,receiver
InStream Fisheries Research Inc.,Innovasea,488972,VR2Tx,A69-1601-62494,VR2Tx Receiver,69,62494,,,,2022-07-20,receiver
InStream Fisheries Research Inc.,Innovasea,1533037,V9,A69-1601-65133,V9-2x-BLU-3,69,65133,912,500,700,2022-07-20,beacon tag
InStream Fisheries Research Inc.,Innovasea,1545072,V7,A69-1604-25845,V7-4x-BLU-3,69,25845,35,7,7,2023-01-04,test tag
InStream Fisheries Research Inc.,Innovasea,1545073,V9,A69-1604-24850,V9-2x-BLU-1,69,24850,912,110,190,2023-01-04,
InStream Fisheries Research Inc.,Innovasea,1545074,V9,A69-1604-24851,V9-2x-BLU-1,69,24851,912,110,190,2023-01-04,
InStream Fisheries Research Inc.,Innovasea,1545075,V9,A69-1604-24852,V9-2x-BLU-1,69,24852,912,110,190,2023-01-04,
